check_type,item,status,file,line,matched_text,evidence,next_action
unsupported_claim,hardware mapping claim,guarded,submission_package/editor_screening_brief.md,94,"nning-time savings from frontier and guard policies. ## Claims That Are Not Made - No claim of hardware mapping, routing, native-gate scheduling, noise-aware compilation, or magic-state-factory accounting. - No claim of universal CNOT, depth, ancilla, or line-count dominance. - No claim that SSHR is obsolete; it remains a strong CNOT-oriented small-scale counterpoint.",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,unqualified optimality claim,guarded,submission_package/editor_screening_brief.md,32,"Kit phase/Rz probes test whether the advantage persists beyond self-written baselines. These comparisons support robustness of the logical-layer result, not hardware-mapped optimality. 3. Internal search ablations: no-MCTS, learned-prior-off, guard-off, Pareto-archive-off, depth-frontier, sparse-frontier, and rank-diverse pruning runs separate the contrib",Optimality and state-of-the-art language require stronger exhaustive or venue-specific evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/reviewer_concern_brief.md,79,"/threats audits keep the result at the logical layer. The audit marks these as excluded and not supported claims: a deep-learning-only explanation, neural semantic certification, hardware mapping, or global optimality. Manuscript anchors: - Neural/MCTS claim-calibration audit - Search-control baseline audit - Learned-control audit - Threats-to-validity audit - Claim-scope",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,universal dominance claim,guarded,submission_package/reviewer_concern_brief.md,45,"ph - Claim-scope lint - Reproducibility and archive manifests ## Does the method dominate every resource? No. The paper claims strong T-count and weighted-score advantages, not universal dominance. It explicitly reports tradeoffs: SSHR remains a strong CNOT counterpoint, CirKit is often shallower, and RevKit CLI often uses fewer auxiliary lines. The counterpoint and claim","The paper supports T-count and weighted-score advantages, not all-metric dominance.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,unqualified optimality claim,guarded,submission_package/reviewer_concern_brief.md,80,"ult at the logical layer. The audit marks these as excluded and not supported claims: a deep-learning-only explanation, neural semantic certification, hardware mapping, or global optimality. Manuscript anchors: - Neural/MCTS claim-calibration audit - Search-control baseline audit - Learned-control audit - Threats-to-validity audit - Claim-scope lint ## Does the lar",Optimality and state-of-the-art language require stronger exhaustive or venue-specific evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/target_venue_brief.md,32,"phase/Rz probes; - T-count and weighted-score improvements with CNOT, depth, and ancilla trade-offs reported separately. The manuscript should not be sent to a venue expecting hardware mapping, native-gate scheduling, physical noise models, or experimental quantum-device execution unless those sections are added later. ## Shortlist | order | venue | short name | fit |",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/target_venue_brief.md,33,"- T-count and weighted-score improvements with CNOT, depth, and ancilla trade-offs reported separately. The manuscript should not be sent to a venue expecting hardware mapping, native-gate scheduling, physical noise models, or experimental quantum-device execution unless those sections are added later. ## Shortlist | order | venue | short name | fit | fit_score | why it fits",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/author_declarations_template.md,34,"esource_nmcts_submission_v1.tex` - Current manuscript PDF: `paper_latex/resource_nmcts_submission_v1.pdf` - Scope boundary: logical-layer quantum Boolean oracle synthesis only; no hardware mapping, routing, native-gate scheduling, noise model, or magic-state-factory resource estimate. ## Authors and Affiliations AUTHOR INPUT REQUIRED: - Author list in journal order: - ORC",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/author_declarations_template.md,34,"ission_v1.tex` - Current manuscript PDF: `paper_latex/resource_nmcts_submission_v1.pdf` - Scope boundary: logical-layer quantum Boolean oracle synthesis only; no hardware mapping, routing, native-gate scheduling, noise model, or magic-state-factory resource estimate. ## Authors and Affiliations AUTHOR INPUT REQUIRED: - Author list in journal order: - ORCID IDs: -",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/author_declarations_template.md,34,".tex` - Current manuscript PDF: `paper_latex/resource_nmcts_submission_v1.pdf` - Scope boundary: logical-layer quantum Boolean oracle synthesis only; no hardware mapping, routing, native-gate scheduling, noise model, or magic-state-factory resource estimate. ## Authors and Affiliations AUTHOR INPUT REQUIRED: - Author list in journal order: - ORCID IDs: - Affiliations: - Corresp",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/author_declarations_template.md,34,"atex/resource_nmcts_submission_v1.pdf` - Scope boundary: logical-layer quantum Boolean oracle synthesis only; no hardware mapping, routing, native-gate scheduling, noise model, or magic-state-factory resource estimate. ## Authors and Affiliations AUTHOR INPUT REQUIRED: - Author list in journal order: - ORCID IDs: - Affiliations: - Corresponding author: - Author email address",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/submission_checklist.md,184,"e verifier: all read-only package invariants pass. - LaTeX warning status: only the existing `\showhyphens` package warning should remain. ## Claim Boundary Check - Do not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. - Do not claim universal dominance over SSHR, CirKit, RevKit, or all CNOT/depth/ancilla metrics. - Keep ROS-style LUT",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/submission_checklist.md,184,"ad-only package invariants pass. - LaTeX warning status: only the existing `\showhyphens` package warning should remain. ## Claim Boundary Check - Do not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. - Do not claim universal dominance over SSHR, CirKit, RevKit, or all CNOT/depth/ancilla metrics. - Keep ROS-style LUT results",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/submission_checklist.md,184,"ackage invariants pass. - LaTeX warning status: only the existing `\showhyphens` package warning should remain. ## Claim Boundary Check - Do not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. - Do not claim universal dominance over SSHR, CirKit, RevKit, or all CNOT/depth/ancilla metrics. - Keep ROS-style LUT results framed as proxy evidence",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,hardware mapping claim,guarded,submission_package/submission_checklist.md,184,"aTeX warning status: only the existing `\showhyphens` package warning should remain. ## Claim Boundary Check - Do not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. - Do not claim universal dominance over SSHR, CirKit, RevKit, or all CNOT/depth/ancilla metrics. - Keep ROS-style LUT results framed as proxy evidence; `analysis_ros_",Hardware mapping and physical-resource claims are outside the current logical-layer evidence.,No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,universal dominance claim,guarded,submission_package/submission_checklist.md,185,"\showhyphens` package warning should remain. ## Claim Boundary Check - Do not claim hardware mapping, routing, native-gate scheduling, or noise-aware compilation. - Do not claim universal dominance over SSHR, CirKit, RevKit, or all CNOT/depth/ancilla metrics. - Keep ROS-style LUT results framed as proxy evidence; `analysis_ros_reproduction_gap_audit.md` must show zero `needs","The paper supports T-count and weighted-score advantages, not all-metric dominance.",No action if the surrounding sentence is explicitly negative or limiting.
unsupported_claim,full external reproduction claim,guarded,submission_package/submission_checklist.md,187,"alysis_ros_reproduction_gap_audit.md` must show zero `needs revision` rows before upload. - Keep RevKit `oracle_synth` framed as a phase/Rz lower-bound or sensitivity probe, not a final Clifford+T comparison. - Keep learned-control claims bounded: neural controls contribute measurable guarded or pruning gains, but the largest gains come from the algebraic action space and g","The ROS and RevKit branches are bounded probes, not full external compiler reproductions.",No action if the surrounding sentence is explicitly negative or limiting.
